Course Code,Course Name,Section,Full Course Name,Instructor,Schedule,Location,Capacity
CMPE140*1,Bilgisayar Programlama I,CMPE140-S01,Bilgisayar Programlama I CMPE140-S01,ALBERT ÖZKOHEN,MON : 16:30 - 18:20 - FRI : 13:00 - 14:50,B-218 - PC Lab.2,42
CMPE140*1,Bilgisayar Programlama I,CMPE140-S02,Bilgisayar Programlama I CMPE140-S02,RAHİM DEHKHARGHANİ,TUE : 09:00 - 10:50 - THU : 15:00 - 16:50,B-522 - PC Lab.2,40
CMPE140*1,Bilgisayar Programlama I,CMPE140-S03,Bilgisayar Programlama I CMPE140-S03,RAHİM DEHKHARGHANİ,WED : 13:30 - 15:20 - TUE : 09:00 - 10:50,PC Lab.1 - B-522,40
CMPE140*1,Bilgisayar Programlama I,CMPE140-S04,Bilgisayar Programlama I CMPE140-S04,RAHİM DEHKHARGHANİ,WED : 09:00 - 10:50 - TUE : 09:00 - 10:50,PC Lab.1 - B-522,40
CMPE241*1,Bilgisayar Programlama II,CMPE241-S01,Bilgisayar Programlama II CMPE241-S01,ALBERT ÖZKOHEN,FRI : 09:30 - 11:20 - TUE : 12:00 - 13:50,PC Lab.2 - B-410,80
CMPE241*1,Bilgisayar Programlama II,CMPE241-S02,Bilgisayar Programlama II CMPE241-S02,ALBERT ÖZKOHEN,THU : 15:30 - 17:20 - TUE : 12:00 - 13:50,PC Lab.1 - B-410,80
CMPE242,Veri Yapıları ve Algoritmalar,CMPE242-S01,Veri Yapıları ve Algoritmalar CMPE242-S0,FABIO STROPPA,MON : 15:00 - 17:50 - WED : 11:30 - 13:20,B-311 - PC Lab.1,68
CMPE242,Veri Yapıları ve Algoritmalar,CMPE242-S02,Veri Yapıları ve Algoritmalar CMPE242-S0,ALBERT ÖZKOHEN,TUE : 14:00 - 16:50 - THU : 11:30 - 13:20,B-312 - PC Lab.1,120
CMPE244*1,Bilgisayar Organizasyonu ve Mimarisi,CMPE244-S01,Bilgisayar Organizasyonu ve Mimarisi CMP,TANER ARSAN,THU : 09:30 - 11:20 - MON : 09:30 - 11:20,PC Lab.1 - B-212,120
CMPE299,Staj I,CMPE299-S01,Staj I CMPE299-S01,NULL,MON : 08:00 - 07:51,NULL,500
CMPE304*1,Çizge Kuramı,CMPE304-S01,Çizge Kuramı CMPE304-S01,NULL,TUE : 13:00 - 15:50,B-311,120
CMPE344*1,Veritabanı Sistemleri,CMPE344-S01,Veritabanı Sistemleri CMPE344-S01,SEYED SAJAD AHMADPOUR,FRI : 11:30 - 15:20,B-311,120
CMPE348*1,Biçimsel Diller ve Otomatlar Kuramı,CMPE348-S01,Biçimsel Diller ve Otomatlar Kuramı CMPE,İLKTAN AR,TUE : 09:00 - 11:50,B-211,120
CMPE356*1,Yazılım Mühendisliği Projesi,CMPE356-S01,Yazılım Mühendisliği Projesi CMPE356-S01,İLKTAN AR,MON : 09:00 - 10:40 - WED : 09:00 - 10:40,B-311 - B-212,120
CMPE356*1,Yazılım Mühendisliği Projesi,CMPE356-S01,Yazılım Mühendisliği Projesi CMPE356-S01,İLKTAN AR,MON : 09:00 - 10:50 - WED : 09:00 - 10:50,B-311 - B-212,120
